ticker,target,rating,flow,per,pbv,roe,net_margin,div_yield,der,debt_to_assets,nonhalal_ratio
ADMR,,,,,,0.1757,0.2733,0.0317,1.13,0.45,
AKRA,,,,,,0.2102,0.0433,0.0717,0.38,0.12,
ARCI,,,,,,0.3372,0.2722,0.0162,1.19,0.46,
BACH,,,,,,0.0,0.0866,,0.95,0.3,
BOLT,,,,,,0.1649,0.0733,0.0625,0.42,0.22,
BRMS,,,,,,0.0299,-0.1758,,0.22,0.2,
BULL,,,,,,0.1486,0.3232,,0.59,0.31,
BUMI,,,,,,0.0675,0.0773,,0.45,0.16,
DRMA,,,,,,0.2548,0.0858,0.07,0.13,0.08,
DSNG,,,,,,0.1607,0.1678,0.0276,0.27,0.18,
DSSA,,,,,,0.1202,0.1187,,0.85,0.35,
ELSA,,,,,,0.1506,0.0618,0.0619,0.15,0.07,
HRTA,,,,,,0.356,0.0195,0.0179,1.11,0.37,
IATA,,,,,,0.0221,0.0416,,0.52,0.29,
JSMR,,,,,,0.0996,0.1703,0.0526,2.15,0.49,
KLBF,,,,,,0.1484,0.0909,0.0265,0.03,0.02,
LSIP,,,,,,0.1441,0.3644,0.0516,,,
MBMA,,,,,,0.038,0.0658,,0.45,0.19,
MEDC,,,,,,0.067,0.1008,0.042,1.64,0.44,
PGAS,,,,,,0.0841,0.0973,0.0818,0.37,0.17,
PSAB,,,,,,0.4202,-0.9891,0.1858,0.11,0.07,
SIDO,,,,,,0.3213,0.2257,0.1039,,,
SMMT,,,,,,0.1155,0.0807,,0.89,0.23,
