ticker,symbol,name,sector,price,per,pbv,div_yield,roe,net_margin,der,rev_growth,earn_growth,market_cap,hist_days,last_bar,avg_value_idr,ret_3m,ret_6m,above_sma50,above_sma200,rsi,debt_to_assets,nonhalal_ratio,sharia_status,last,ema_fast,ema_slow,sma200,atr,support,resist,rsi_t,signal,entry_lo,entry_hi,sl,tp1,tp2,tp3,risk_pct,cmf,data_completeness,s_value,s_quality,s_growth,s_momentum,s_liquidity,skor,kelayakan,sb_target,sb_upside,sb_rating,sb_flow,data_confidence,sb_tilt,macro_bias,theme,macro_tilt,saran,konfluensi,lot,risk_rp
PSAB,PSAB.JK,J Resources Asia Pasifik Tbk.,Basic Materials,640.0,3.2215846,27826.086,16.41,0.53942,0.99034,12.363,0.073,22.264,16934399639552,244,2026-08-21,53114014543.333336,0.5023474178403755,0.18518518518518512,1.0,1.0,83.48592155395295,0.2869709066966317,0.00022165155656348452,SYARIAH OK,640.0,527.4691435512767,473.53095172790916,517.275,31.459263357905954,412.0,650.0,83.48592155395295,TUNGGU PULLBACK,457.8013200489562,482.96873073528093,394.88279333314426,630.8272685174389,788.1235853069687,945.4199020964985,0.166088738461084,0.26135933244172216,1.0,52.96796557762528,86.17441315539425,66.39573479738623,85.52415373690242,32.77096241801574,76.76543001294567,LAYAK,,,,,yfinance,0.0,2.0,gold,10.0,KURANGI,1,113,995371.0926441443
ADRO,ADRO.JK,Alamtri Resources Indonesia Tbk,Energy,2550.0,8.59,0.85,10.6,0.10256,0.2721,0.22,0.234,0.748,73441256407040,244,2026-08-21,78663547866.66667,0.0851063829787233,0.14864864864864868,1.0,1.0,56.679588349052594,0.12047305901590334,0.05202003919877365,NONHALAL >5% (5.2%),2550.0,2531.5688099128165,2458.657314748566,2251.65,56.926778178580726,2390.0,2590.0,56.679588349052594,TREND (tahan/add),2430.1939256592755,2475.7353482021404,2316.340369302114,2743.29120564147,3027.9250965343736,3312.5589874272773,0.05788401034692624,0.11617686350154871,1.0,56.54898013673471,58.37163188734039,51.98926676549638,83.25167418564463,60.22149559236154,75.21210219682638,TIDAK LAYAK (rasio syariah),3168.0,0.24235294117647066,buy,,"beda:pbv,der",8.0,1.0,coal,5.0,HINDARI,4,62,988248.8691801626
LSIP,LSIP.JK,PP London Sumatra Indonesia Tbk,Consumer Defensive,1460.0,5.2,0.68,5.76,0.15198,0.2973,,0.321,0.539,9957147672576,244,2026-08-21,11445526100.0,0.11026615969581743,0.24255319148936172,1.0,1.0,62.51247184665288,2.117106626949146e-05,0.05007904993481147,NONHALAL >5% (5.0%),1460.0,1428.5757329061685,1383.475248130969,1338.25,35.30965364347073,1350.0,1485.0,62.51247184665288,TREND (tahan/add),1365.8204213092336,1394.0681442240102,1295.2011140222921,1560.0235163483228,1736.5717845656766,1913.1200527830304,0.06380608126378295,-0.046205400389281746,0.8888888888888888,62.81412294514623,56.38996156030171,66.24169990880674,80.00723190699152,34.533957640314966,73.91881614012854,TIDAK LAYAK (rasio syariah),1779.0,0.21849315068493147,buy,,beda:net_margin,8.0,1.0,cpo,5.0,HINDARI,3,101,998557.0050373526
AADI,AADI.JK,Adaro Andalan Indonesia Tbk.,Energy,9800.0,6.15,1.22,10.8,0.21462,0.13699999999999998,0.24,-0.103,-0.27,76311536074752,244,2026-08-21,100301134291.66667,0.1914893617021276,0.13953488372093026,1.0,1.0,66.74827016454927,0.14477743452998068,0.010936888716551435,SYARIAH OK,9800.0,9439.12727398732,8975.67966479283,8732.75,284.09391481987666,8750.0,10000.0,66.74827016454927,TUNGGU PULLBACK,8833.63270738289,9060.907839238793,8265.444877743137,10396.149238892214,11816.618812991599,13237.088387090984,0.07912880289562847,-0.0007244459561081491,1.0,58.902097747781106,56.536249700586886,21.58336993903338,76.83681801253287,67.15181068178524,70.53722755772137,LAYAK,12927.0,0.3190816326530612,buy,,"beda:pbv,der",8.0,1.0,coal,5.0,TAHAN,2,12,954555.5537947869
TINS,TINS.JK,TIMAH (Persero) Tbk.,Basic Materials,4030.0,7.57,2.68,2.32,0.41794,0.245,0.11,1.335,5.75,30014445715456,244,2026-08-21,167647829150.0,0.12569832402234637,0.05774278215223094,1.0,1.0,63.066357233910715,0.11920508055363054,0.004805443006429734,SYARIAH OK,4030.0,3870.037581670277,3655.0283561779966,3464.45,166.14703781262753,3380.0,4120.0,63.066357233910715,TREND (tahan/add),3571.9548372716827,3704.872467521785,3239.6607616464275,4485.763545241134,5316.498734304272,6147.23392336741,0.11364278305241717,-0.16548950649187477,1.0,55.09569291601386,64.98823262103626,72.37978979687153,68.45900038671853,38.66940300876465,67.21383283902735,LAYAK,4603.0,0.14218362282878405,buy,,"beda:net_margin,der",6.843672456575681,0.0,tin,0.0,TAHAN,2,21,976944.5823382506
ANTM,ANTM.JK,ANTAM (Persero) Tbk.,Basic Materials,3170.0,8.13,1.78,7.32,0.24687,0.1162,0.14,0.121,0.599,76177528061952,244,2026-08-21,401491332700.0,0.025889967637540368,-0.20551378446115287,1.0,0.0,59.330073260870314,0.08674791294679719,0.004895806464178094,SYARIAH OK,3170.0,3071.856410604475,3044.996963108831,3382.95,107.67353422844275,2800.0,3220.0,59.330073260870314,NETRAL / AMATI,2991.1601959946097,3077.299023377364,2746.1632328857786,3642.664423554936,4240.3318840010415,4837.999344447146,0.09813925394459315,-0.15381546444913036,1.0,56.143867707858305,54.386162276274185,39.56507449002281,48.165834835502544,55.04423766539412,66.12373795311284,LAYAK,4681.0,0.4766561514195584,buy,,"beda:net_margin,der",8.0,1.3333333333333333,gold/nickel/silver,6.666666666666666,TAHAN,2,30,993407.371474756
ELSA,ELSA.JK,Elnusa Tbk,Energy,715.0,6.21,0.94,6.33,0.15735,0.061799999999999994,0.15,0.226,0.636,5218427731968,244,2026-08-21,16796680158.333334,0.08333333333333326,-0.0714285714285714,1.0,1.0,58.96136946080442,0.05928917329012576,0.008792852655089042,SYARIAH OK,715.0,701.1638730188675,667.4139851167333,639.06,26.4275968815547,650.0,740.0,58.96136946080442,TREND (tahan/add),654.2001866759559,675.3422641811998,601.3449929128466,799.5519695245068,931.6899539322803,1063.8279383400538,0.09899251990101919,0.0034178646155364027,1.0,54.87696558609591,45.436021733491486,50.205400016827596,71.16981123129702,36.509181764187076,65.31939634330845,LAYAK,1066.0,0.49090909090909096,buy,,beda:der,8.0,1.0,oil_gas,5.0,BELI,2,135,998963.162122768
JPFA,JPFA.JK,Japfa Comfeed Indonesia Tbk.,Consumer Defensive,2210.0,4.91,1.23,6.51,0.27829,0.1025,0.39,0.236,1.67,25697150042112,244,2026-08-21,35405601416.666664,-0.1400778210116731,-0.14341085271317833,1.0,0.0,52.635094134849034,0.29610468484736685,0.0011014265379265492,SYARIAH OK,2210.0,2234.8211406427063,2179.1143313032344,2414.575,77.88084288135589,2070.0,2450.0,52.635094134849034,NETRAL / AMATI,2140.1739098625562,2202.478584167641,1984.4122240998447,2568.5185457100138,2957.922760116793,3347.3269745235725,0.08934919311321621,-0.04698576042794841,1.0,61.51019856809205,45.50553688747144,77.62363726489446,50.71891249028093,57.76601749472593,65.20616457589011,LAYAK,3279.0,0.48371040723981906,buy,,"beda:net_margin,der",8.0,0.0,poultry,0.0,TAHAN,1,45,981298.6203050842
AUTO,AUTO.JK,Astra Otoparts Tbk,Consumer Cyclical,3020.0,5.54,0.84,8.24,0.15295,0.1059,0.04,0.193,0.367,14555593834496,244,2026-08-21,5280008933.333333,0.1796875,0.14828897338403046,1.0,1.0,85.59885894642301,0.02641947137179805,0.012478968214538429,SYARIAH OK,3020.0,2865.6729418062964,2685.472961852174,2627.1,66.60104468270916,2540.0,3030.0,85.59885894642301,TUNGGU PULLBACK,2652.1724395108195,2705.453275256987,2506.6994776586453,3043.019930239232,3400.56689862629,3758.1138670133478,0.06657057685296099,0.1666145860106217,1.0,57.45073897098833,61.033434807561456,55.44871789679999,75.09317987378213,38.72482609134427,64.67299578582744,LAYAK,3308.0,0.09536423841059594,buy,,beda:der,5.907284768211919,0.0,auto,0.0,TAHAN,2,50,993768.9879917093
INKP,INKP.JK,Indah Kiat Pulp & Paper Tbk.,Basic Materials,8750.0,5.88,0.39,89.0,0.09631,0.1912,0.67,0.132,8.165,47871101501440,244,2026-08-21,42933061916.666664,0.08024691358024683,-0.06666666666666665,1.0,1.0,68.58138520757299,0.3823356096009154,0.018611435901510938,"OK (waspada, 38% menuju 33%)",8750.0,8480.043544518852,8124.9405308540145,8644.25,264.6124127695034,7550.0,8850.0,68.58138520757299,TREND (tahan/add),7992.6343244692625,8204.324254684865,7417.693793615248,9539.434005331546,10953.927479809081,12368.420954286612,0.08704638939239442,-0.03724815949015691,1.0,73.88154892607501,43.01456472867468,49.533984413049325,69.99956564899053,39.39319695663535,64.56301874893823,LAYAK,13693.0,0.5649142857142857,buy,,"beda:per,pbv,der",8.0,0.0,paper,0.0,BELI,2,12,943956.5532835404
